[DEBUG] 2017-04-30 18:26:09.258 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@6a03bcb1
[DEBUG] 2017-04-30 18:26:09.259 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@17a7f733
[DEBUG] 2017-04-30 18:26:09.259 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@6236eb5f
[DEBUG] 2017-04-30 18:26:09.260 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@6236eb5f
[DEBUG] 2017-04-30 18:26:09.261 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@3f56875e
[DEBUG] 2017-04-30 18:26:09.261 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@3f56875e
[DEBUG] 2017-04-30 18:26:09.317 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@343570b7
[DEBUG] 2017-04-30 18:26:09.317 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@343570b7
[DEBUG] 2017-04-30 18:26:09.319 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@6bf0219d
[DEBUG] 2017-04-30 18:26:09.319 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@6bf0219d
[DEBUG] 2017-04-30 18:26:09.320 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@5552768b
[DEBUG] 2017-04-30 18:26:09.321 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@5552768b
[DEBUG] 2017-04-30 18:26:09.322 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@6497b078
[DEBUG] 2017-04-30 18:26:09.322 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@6497b078
[DEBUG] 2017-04-30 18:26:09.323 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4f67eb2a
[DEBUG] 2017-04-30 18:26:09.324 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4f67eb2a
[DEBUG] 2017-04-30 18:26:09.325 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@76f2bbc1
[DEBUG] 2017-04-30 18:26:09.325 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@76f2bbc1
[DEBUG] 2017-04-30 18:26:09.328 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@306cf3ea
[DEBUG] 2017-04-30 18:26:09.328 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@306cf3ea
[DEBUG] 2017-04-30 18:26:09.330 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@2177849e
[DEBUG] 2017-04-30 18:26:09.330 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@2177849e
[DEBUG] 2017-04-30 18:26:09.331 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@29647f75
[DEBUG] 2017-04-30 18:26:09.331 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@29647f75
[DEBUG] 2017-04-30 18:26:09.332 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@482bce4f
[DEBUG] 2017-04-30 18:26:09.332 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@482bce4f
[DEBUG] 2017-04-30 18:26:09.332 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@482bce4f
[DEBUG] 2017-04-30 18:26:09.333 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@1649b0e6
[DEBUG] 2017-04-30 18:26:09.334 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@503d687a
